Time,40K plat,4K cyl,40K shield,ivc
1724398855.449237,298.3713,299.8872,299.3028,299.7036
1724398857.27716,298.3706,299.8886,299.3031,299.7037
1724398859.1050925,298.3713,299.8883,299.3027,299.7042
1724398860.935522,298.3684,299.8856,299.3032,299.7034
1724398862.767478,298.3696,299.8883,299.3024,299.7041
1724398864.5880973,298.372,299.8856,299.3028,299.7041
1724398866.4127426,298.3713,299.8898,299.3033,299.7042
1724398868.2442613,298.3702,299.8859,299.303,299.7044
1724398870.0760837,298.3706,299.8858,299.3033,299.7042
1724398871.924035,298.37,299.8873,299.3034,299.7043
1724398873.7635999,298.3723,299.8877,299.3032,299.704
1724398875.5969048,298.3712,299.8859,299.3026,299.7039
1724398877.428834,298.3713,299.8884,299.3031,299.7047
1724398879.250518,298.3715,299.8883,299.3031,299.7044
1724398881.0706456,298.3709,299.8884,299.3034,299.7042
1724398882.8865957,298.3701,299.8885,299.3023,299.7031
1724398884.7203712,298.3702,299.8864,299.3029,299.7039
1724398886.546099,298.3704,299.8876,299.3032,299.7039
1724398888.3867488,298.3699,299.8878,299.3027,299.7037
1724398890.2234733,298.3721,299.8888,299.303,299.7034
1724398892.0595655,298.3709,299.8893,299.3028,299.7044
1724398893.8986416,298.3713,299.8871,299.3033,299.704
1724398895.7281203,298.37,299.888,299.3026,299.7039
1724398897.5634437,298.3722,299.8897,299.3035,299.7041
1724398899.3979151,298.372,299.8888,299.3034,299.7038
1724398901.2324276,298.3709,299.8889,299.303,299.7048
1724398903.0767112,298.3699,299.8887,299.3032,299.7042
1724398904.9107795,298.3713,299.8876,299.303,299.7044
1724398906.7418275,298.3711,299.8887,299.3034,299.7041
1724398908.5764115,298.3707,299.8882,299.3029,299.7039
1724398910.4085493,298.3706,299.8876,299.3034,299.7046
1724398912.2449296,298.3703,299.8885,299.3025,299.7031
